"Run","DurSec","CpuCores","FrameEvents","FrameRate","CleanAvg","CleanP95","CleanP99","CleanMax","LateP99","LateMax","AllP99","AllMax","GameCpuMs","MainMs","RenderMs","AudioMs","particles","client","rendersystemdx11","scenesystem","soundsystem","panorama","materialsystem2","vphysics2","animationsystem","d3d11","phonon","libmpg123-0","resourcesystem","filesystem_stdio","server"
"qollockbefore_2026-05-15","67.59","1.57","12693","187.8","4.354","12.974","20.321","106","16.667","31.797","17.614","106","106120","22183","11060","797","67.44","110.15","140.99","117.23","20.48","80.98","83.88","31.54","26.22","44.77","1.98","0","0","0","30.57"
"qollockafter_2026-05-15","62.86","1.464","9609","152.87","5.876","15.856","28.163","106","8.527","14.163","20.301","106","92009","18416","9068","809","70.64","110.93","134.21","110.1","21.33","67.76","83.9","29.49","29.32","43.1","2.35","0","0","0","33.52"
