Name|Default|Cheat|Description
r_citadel_clip_sphere_distance_max|75|Yes|
r_citadel_clip_sphere_dist|0.45|Yes|
r_citadel_clip_sphere_min_opacity|0.4|Yes|
r_citadel_clip_sphere_skin|0.4|Yes|
r_citadel_cloak_blur_amount|0.01|Yes|cloak
r_citadel_cloak_blur_factor_max_roughness|1|Yes|cloak
r_citadel_cloak_blur_factor_min_roughness|1|Yes|cloak
r_citadel_cloak_blur_noise_amount|0.5|Yes|cloak
r_citadel_cloak_color_tint|230 230 230 255|Yes|cloak
r_citadel_cloak_fresnel_effect|0|Yes|cloak
r_citadel_cloak_intensity|1|Yes|cloak
r_citadel_cloak_refract_amount|0|Yes|cloak
r_citadel_cosmic_veil_fade_dist|32|Yes|cosmic veil
r_citadel_depth_prepass_cull_threshold|60|No|
r_citadel_depth_prepass_dynamic_objects|true|No|
r_citadel_depthoffield_aperture_diameter|0|No|Depth of field aperture diameter in inches
r_citadel_depthoffield_debug|false|No|Enable depth of field debug drawing
r_citadel_depthoffield_enable|false|No|Enable/Disable Depth of Field
r_citadel_depthoffield_focus_distance|200|No|Depth of field focus distance in inches
r_citadel_depthoffield_mode|0|No|Depth of field mode, 0: Normal 1: Near field only 2: Far field only
r_citadel_depthoffield_sensor_size|1|No|Depth of field sensor size in inches
r_citadel_disable_npr_lighting|false|No|
r_citadel_distancefield_ao_quality|0|No|Distance Field AO quality
r_citadel_distancefield_blur_depth_threshold|1|No|Distance field blur depth threshold
r_citadel_distancefield_blur|true|No|Enable/Disable distance field blur
r_citadel_distancefield_down_sample|1|No|Distance field down sample factor
r_citadel_distancefield_farfield_enable|true|No|Distance field far field enable
r_citadel_distancefield_farfield_occlusion_length|192|No|Distance field far field occlusion length
r_citadel_distancefield_farfield_occlusion_start_offset|16|No|Distance field far field occlusion start offset
r_citadel_distancefield_farfield_resolution|192|No|Distance field far field resolution
r_citadel_distancefield_farfield_size|2048|No|Distance field far field size
r_citadel_distancefield_max_distance|2048|No|Maximum distance before culling
r_citadel_distancefield_min_screen_space_size|0.015|No|Minimum screen space size before culling
r_citadel_distancefield_occlusion_length|48|No|Distance field occlusion length
