"Wave","RunId","DurationSec","AvgCpuCores","FrameEventsPerSec","CleanP95","CleanP99","CleanMax","After5P99","After5Max","Sim2","ProcessId"
"0","N00demo","176.61","1.418","0",,,,,,"0","2316"
"1","N01demo","170.46","1.45","0",,,,,,"0","5636"
"2","N02demo","171.18","1.451","0",,,,,,"0","5728"
"3","N03demo","171.87","1.435","0",,,,,,"0","8616"
"4","N04demo","171.6","1.438","0",,,,,,"0","11840"
"5","N05demo","173.43","1.407","0",,,,,,"0","4388"
